provider,time,lat,lon,depth_km,mag,dM,dist3d_km,dist_h_km,dz_km,score
USGS,2020-10-25T21:32:42.030000Z,-23.2412,-68.5372,118.0,4.6,2.2,5.5,1.0,-5.4,8.5
USGS,2020-06-07T21:26:32.016000Z,-23.2501,-68.5144,120.2,4.0,2.8,3.6,1.6,-3.2,15.6
GFZ,2020-06-16T17:54:41.000000Z,-23.307,-68.578,107.7,4.89,1.91,17.7,8.3,-15.7,19.1
GFZ,2022-10-10T22:51:12.940000Z,-23.416,-68.513,124.6,4.7,2.1,18.8,18.8,1.2,20.3
USGS,2020-07-20T13:36:12.737000Z,-23.3257,-68.5687,113.9,4.2,2.6,13.5,9.6,-9.5,22.5
USGS,2022-06-03T14:57:10.105000Z,-23.1877,-68.3847,111.6,4.6,2.2,20.1,16.3,-11.8,23.1
USGS,2020-10-26T06:03:26.230000Z,-23.3654,-68.5115,110.9,4.4,2.4,18.2,13.2,-12.5,24.2
USGS,2021-01-07T00:09:05.772000Z,-23.3582,-68.5155,109.1,4.2,2.6,18.9,12.4,-14.3,27.9
USGS,2021-07-22T19:23:35.787000Z,-23.4181,-68.5313,109.6,4.4,2.4,23.4,18.9,-13.8,29.4
USGS,2021-04-29T16:00:40.487000Z,-23.2035,-68.7386,99.7,4.7,2.1,32.3,21.9,-23.7,33.8
GFZ,2022-06-03T14:54:34.890000Z,-23.237,-68.349,102.1,5.22,1.58,28.2,18.6,-21.3,34.5
USGS,2023-02-23T18:38:08.514000Z,-23.2017,-68.661,103.7,4.1,2.7,24.4,14.3,-19.7,34.9
USGS,2020-06-17T06:40:11.335000Z,-23.3495,-68.4931,98.5,4.2,2.6,27.6,12.0,-24.9,36.6
USGS,2020-09-04T02:02:16.630000Z,-23.4983,-68.6007,107.2,4.3,2.5,33.0,28.8,-16.2,40.5
GFZ,2022-12-31T03:31:44.180000Z,-23.072,-68.739,99.9,5.03,1.77,37.2,28.9,-23.5,40.7
USGS,2022-04-29T10:40:30.299000Z,-23.0153,-68.4,119.9,4.0,2.8,29.1,28.9,-3.5,41.1
USGS,2021-01-01T19:33:30.299000Z,-23.501,-68.7724,111.6,4.5,2.3,39.3,37.5,-11.8,43.8
GFZ,2023-03-18T20:30:08.650000Z,-23.043,-68.823,100.4,4.89,1.91,44.0,37.6,-23.0,45.4
GFZ,2023-01-05T14:14:29.610000Z,-22.856,-68.535,126.0,4.65,2.15,43.4,43.3,2.6,45.6
USGS,2022-10-22T20:52:59.931000Z,-23.0249,-68.8342,120.7,4.3,2.5,39.8,39.7,-2.7,47.3
USGS,2023-01-01T12:18:59.423000Z,-23.0742,-68.9221,106.7,4.8,2.0,47.5,44.5,-16.7,47.5
GFZ,2023-03-25T07:30:14.600000Z,-22.928,-68.815,121.7,4.52,2.28,45.9,45.8,-1.7,50.1
