f1,f2,sta,ccP_Z,lagP_s,ccS_T,lagS_s,valida
0.1,0.3,PB01,0.56,8.7,0.77,6.2,1
0.1,0.3,PB02,0.45,-0.8,0.48,5.5,0
0.1,0.3,PB03,0.56,-10.2,0.77,4.7,1
0.1,0.3,PB05,0.78,-1.2,0.66,3.3,1
0.1,0.3,PB06,0.54,-0.1,0.77,3.5,1
0.1,0.3,PB09,0.43,1.4,0.67,5.3,1
0.1,0.3,PB19,0.57,0.8,0.81,-1.0,1
0.1,0.3,AF01,0.49,14.4,0.55,7.5,1
0.15,0.4,PB01,0.42,9.1,0.71,6.1,1
0.15,0.4,PB02,0.29,-13.2,0.73,5.6,1
0.15,0.4,PB03,0.44,-6.7,0.81,4.7,1
0.15,0.4,PB05,0.73,-0.8,0.5,3.7,1
0.15,0.4,PB06,0.7,-0.1,0.73,3.5,1
0.15,0.4,PB09,0.33,5.3,0.74,5.3,1
0.15,0.4,PB19,0.61,1.1,0.63,-1.0,1
0.15,0.4,AF01,0.59,2.5,0.55,4.0,1
