dataset,sta,freq_hz,snr
main,A01F,0.0200,25.064
main,A01F,0.0206,25.064
main,A01F,0.0327,37.704
main,A01F,0.0336,37.704
main,A01F,0.0346,37.704
main,A01F,0.0357,37.704
main,A01F,0.0367,37.704
main,A01F,0.0389,68.337
main,A01F,0.0400,68.337
main,A01F,0.0412,68.337
main,A01F,0.0490,110.094
main,A01F,0.0504,132.374
main,A01F,0.0519,132.374
main,A01F,0.0534,132.374
main,A01F,0.0550,132.374
main,A01F,0.0566,132.374
main,A01F,0.0583,108.740
main,A01F,0.0600,108.740
main,A01F,0.0617,108.740
main,A01F,0.0654,70.156
main,A01F,0.0673,99.356
main,A01F,0.0693,99.356
main,A01F,0.0713,99.356
main,A01F,0.0734,99.356
main,A01F,0.0756,128.555
main,A01F,0.0778,117.476
main,A01F,0.0801,109.230
main,A01F,0.0824,109.230
main,A01F,0.0848,105.617
main,A01F,0.0873,127.013
main,A01F,0.0899,135.297
main,A01F,0.0925,135.297
main,A01F,0.0952,140.189
main,A01F,0.0980,166.984
main,A01F,0.1009,190.391
main,A01F,0.1039,190.391
main,A01F,0.1069,232.186
main,A01F,0.1101,232.186
main,A01F,0.1133,227.225
main,A01F,0.1166,271.358
main,A01F,0.1200,271.358
main,A01F,0.1235,281.721
main,A01F,0.1272,304.105
main,A01F,0.1309,335.706
main,A01F,0.1347,311.438
main,A01F,0.1387,331.265
main,A01F,0.1428,312.969
main,A01F,0.1469,374.063
main,A01F,0.1512,468.181
main,A01F,0.1557,468.181
main,A01F,0.1602,438.067
main,A01F,0.1649,472.977
main,A01F,0.1698,492.309
main,A01F,0.1748,498.498
main,A01F,0.1799,711.314
main,A01F,0.1852,711.314
main,A01F,0.1906,727.255
main,A01F,0.1962,512.717
main,A01F,0.2019,546.186
main,A01F,0.2079,541.053
main,A01F,0.2140,498.073
main,A01F,0.2202,568.645
main,A01F,0.2267,543.869
main,A01F,0.2333,497.691
main,A01F,0.2402,539.123
main,A01F,0.2472,573.495
main,A01F,0.2545,811.308
main,A01F,0.2619,807.360
main,A01F,0.2696,797.680
main,A01F,0.2775,696.965
main,A01F,0.2857,719.985
main,A01F,0.2940,773.282
main,A01F,0.3027,780.876
main,A01F,0.3115,780.876
main,A01F,0.3207,678.711
main,A01F,0.3301,651.607
main,A01F,0.3397,612.264
main,A01F,0.3497,588.014
main,A01F,0.3600,762.608
main,A01F,0.3705,828.306
main,A01F,0.3814,922.686
main,A01F,0.3926,995.079
main,A01F,0.4041,1090.080
main,A01F,0.4159,1368.061
main,A01F,0.4281,1525.861
main,A01F,0.4407,1693.534
