# network station latitude longitude
CSN A02C -27.104000091552734 -70.8489990234375
CSN A02C -27.104000091552734 -70.8489990234375
CSN A02C -27.104000091552734 -70.8489990234375
CSN A18C -27.503000259399414 -70.88700103759766
CSN A18C -27.503000259399414 -70.88700103759766
CSN A18C -27.503000259399414 -70.88700103759766
CSN A24F -23.610000610351562 -70.26200103759766
CSN A24F -23.610000610351562 -70.26200103759766
CSN A24F -23.610000610351562 -70.26200103759766
CSN AC01 -26.148000717163086 -70.5989990234375
CSN AC01 -26.148000717163086 -70.5989990234375
CSN AC01 -26.148000717163086 -70.5989990234375
C GO02 -25.162599563598633 -69.59040069580078
C GO02 -25.162599563598633 -69.59040069580078
C GO02 -25.162599563598633 -69.59040069580078
C GO02 -25.162599563598633 -69.59040069580078
C GO02 -25.162599563598633 -69.59040069580078
C GO02 -25.162599563598633 -69.59040069580078
CSN GO03 -27.5939998626709 -70.23500061035156
CSN GO03 -27.5939998626709 -70.23500061035156
CSN GO03 -27.5939998626709 -70.23500061035156
CSN PB19 -23.905000686645508 -69.29100036621094
CSN PB19 -23.905000686645508 -69.29100036621094
CSN PB19 -23.905000686645508 -69.29100036621094
